location,bhk,washroom,total_sqft,furnishing,age,price,rent
Minal,4,3,2030,Fully Furnished,10+ years,93.08,94815.36
Hoshangabad Road,4,3,2036,Unfurnished,1-5 years,140.72,168601.84
MP Nagar,4,3,1999,Fully Furnished,1-5 years,137.42,115213.3
ibrahimpura,4,3,1565,Unfurnished,10+ years,80.86,85274.81
Nizamuddin colony,1,1,623,Fully Furnished,1-5 years,39.98,35622.02
Lalghati,1,1,403,Fully Furnished,10+ years,16.41,17270.1
Narela,3,3,1049,Fully Furnished,5-10 years,64.4,74704.73
Gulmohar,5,4,2804,Unfurnished,5-10 years,115.9,123922.79
ibrahimpura,2,2,1123,Semi Furnished,New,70.88,59018.36
kohefiza,3,3,1390,Unfurnished,New,76.29,82715.22
Bairagarh,3,3,1271,Fully Furnished,New,88.16,89053.37
Hoshangabad Road,3,3,1172,Unfurnished,1-5 years,47.76,48731.32
Narela,2,2,1097,Semi Furnished,1-5 years,48.3,41282.01
jahangirabad,3,3,1594,Fully Furnished,10+ years,108.74,88863.37
Lalghati,2,2,989,Fully Furnished,5-10 years,62.37,62171.15
Ashoka garden,5,4,2370,Unfurnished,1-5 years,163.47,151722.93
Gandhi nagar,5,4,2734,Semi Furnished,1-5 years,182.49,151503.39
sultaniya road,4,3,1893,Unfurnished,5-10 years,80.48,87690.08
Minal,3,3,1186,Fully Furnished,1-5 years,48.84,53266.05
Chuna Bhatti,4,3,1856,Unfurnished,1-5 years,80.32,85557.45
Shyamla Hills,3,3,1577,Fully Furnished,1-5 years,76.34,62106.18
Govindpura,2,2,1146,Fully Furnished,New,51.2,57281.14
Ratnagiri,5,4,2150,Fully Furnished,10+ years,130.21,129711.27
jahangirabad,4,3,1986,Fully Furnished,10+ years,112.8,92971.88
Bittan Market,3,3,1085,Semi Furnished,1-5 years,55.47,51833.49
Bawadiya Kalan,5,4,2254,Unfurnished,New,145.88,140195.61
Arera Colony,4,3,1573,Semi Furnished,New,73.28,75890.87
Gandhi nagar,1,1,712,Fully Furnished,5-10 years,30.11,34002.3
Shyamla Hills,1,1,655,Fully Furnished,10+ years,39.38,45272.83
Lalghati,4,3,2068,Fully Furnished,New,127.08,138994.15
Anand nagar,3,3,1127,Semi Furnished,5-10 years,48.61,53471.39
Anand nagar,2,2,1031,Semi Furnished,New,56.68,51677.62
Bittan Market,1,1,423,Semi Furnished,New,18.9,17059.33
Barkheda,1,1,475,Fully Furnished,10+ years,23.51,22588.36
Bairagarh,3,3,1386,Unfurnished,10+ years,88.41,82766.84
ibrahimpura,4,3,1701,Fully Furnished,New,103.65,94053.36
Roshanpura,3,3,1395,Fully Furnished,10+ years,88.5,102675.03
Kolar hills,2,2,775,Fully Furnished,1-5 years,32.41,32400.02
Karond,4,3,1961,Fully Furnished,10+ years,123.33,129519.09
Barkheda,4,3,2103,Unfurnished,New,102.9,99706.69
Bawadiya Kalan,1,1,786,Semi Furnished,1-5 years,45.32,38975.05
jahangirabad,5,4,2224,Unfurnished,10+ years,126.84,126548.74
Narela,2,2,991,Fully Furnished,1-5 years,60.96,49316.03
Lalghati,1,1,461,Fully Furnished,10+ years,27.92,29807.96
Service road,1,1,630,Semi Furnished,5-10 years,33.43,36299.74
Sonagiri,4,3,2084,Fully Furnished,1-5 years,134.03,156463.95
MP Nagar,5,4,2175,Unfurnished,10+ years,112.82,118764.06
Chuna Bhatti,5,4,2372,Unfurnished,5-10 years,162.64,174471.64
Shyamla Hills,2,2,943,Semi Furnished,1-5 years,43.96,52345.45
Kolar Road,4,3,1681,Semi Furnished,5-10 years,111.76,107197.85
Indrapuri,2,2,1154,Semi Furnished,1-5 years,74.24,66270.6
Vikas Nagar,2,2,890,Semi Furnished,New,41.78,39862.92
Ashoka garden,5,4,2174,Semi Furnished,10+ years,118.59,113633.43
Gandhi nagar,3,3,1048,Unfurnished,1-5 years,53.18,60227.6
Shanti Nagar,4,3,1575,Semi Furnished,New,100.51,93676.67
jahangirabad,3,3,1571,Semi Furnished,10+ years,92.8,82837.02
Ayodhya nagar,3,3,1141,Fully Furnished,10+ years,59.44,53032.65
Bawadiya Kalan,5,4,2215,Fully Furnished,10+ years,135.02,161537.11
eidgah hills,4,3,1455,Semi Furnished,10+ years,79.47,95024.43
Govindpura,1,1,658,Fully Furnished,5-10 years,36.0,30963.11
Bawadiya Kalan,5,4,2759,Semi Furnished,5-10 years,134.14,122683.21
Bittan Market,3,3,1118,Semi Furnished,5-10 years,65.93,62028.97
Minal,4,3,1660,Unfurnished,1-5 years,79.02,91756.65
Shanti Nagar,5,4,2349,Fully Furnished,5-10 years,123.57,129247.07
Kamla Nagar,1,1,533,Semi Furnished,5-10 years,22.51,26966.32
Ayodhya bypass,5,4,2675,Unfurnished,10+ years,118.88,130818.39
Saket nagar,5,4,2186,Unfurnished,10+ years,97.07,112361.51
Hoshangabad Road,1,1,589,Unfurnished,5-10 years,33.37,29770.43
Saket nagar,2,2,977,Unfurnished,10+ years,59.33,60894.96
Barkheda,1,1,499,Unfurnished,New,29.8,29953.38
sultaniya road,4,3,1833,Fully Furnished,10+ years,105.77,104077.57
Hoshangabad Road,2,2,960,Fully Furnished,10+ years,51.13,52796.41
MP Nagar,5,4,2302,Fully Furnished,10+ years,120.04,104844.44
Vijay nagar,4,3,1910,Unfurnished,New,113.38,107217.27
Bairagarh,5,4,2169,Unfurnished,5-10 years,110.78,117511.78
Gulmohar,3,3,1352,Fully Furnished,5-10 years,73.98,80583.03
eidgah hills,5,4,2773,Semi Furnished,1-5 years,142.32,159046.13
Ayodhya nagar,2,2,851,Unfurnished,1-5 years,51.19,53547.62
Bittan Market,1,1,574,Fully Furnished,5-10 years,32.53,28555.83
Ratnagiri,3,3,1197,Unfurnished,10+ years,82.92,69814.76
Kamla Nagar,1,1,648,Fully Furnished,10+ years,29.12,24430.33
kohefiza,4,3,1652,Semi Furnished,New,113.44,120556.94
New market,2,2,888,Fully Furnished,New,60.58,49310.4
Anand nagar,3,3,1479,Semi Furnished,1-5 years,88.92,79862.22
Shyamla Hills,1,1,573,Fully Furnished,5-10 years,28.22,27814.58
Nizamuddin colony,4,3,1617,Fully Furnished,New,87.53,96099.0
MP Nagar,1,1,747,Semi Furnished,10+ years,30.5,34051.31
Service road,2,2,1062,Semi Furnished,10+ years,46.8,48718.74
kohefiza,4,3,1830,Unfurnished,10+ years,78.81,69192.98
eidgah hills,3,3,1581,Semi Furnished,New,90.42,95669.84
jahangirabad,5,4,2348,Unfurnished,1-5 years,98.95,98451.89
Ashoka garden,2,2,837,Fully Furnished,1-5 years,49.03,57857.2
Karond,5,4,2097,Unfurnished,5-10 years,95.58,107668.98
Barkheda,4,3,1632,Unfurnished,10+ years,101.79,106359.69
ibrahimpura,3,3,1232,Unfurnished,1-5 years,52.37,47893.38
Prabhat petrol pump,2,2,920,Unfurnished,1-5 years,54.51,56478.42
Lalghati,5,4,2853,Semi Furnished,New,149.04,162003.26
Ayodhya nagar,5,4,2362,Fully Furnished,1-5 years,157.4,169248.86
Arjun Nagar,2,2,830,Semi Furnished,New,45.41,43707.43
Avadhpuri,3,3,1333,Semi Furnished,10+ years,53.64,63872.16
Shyamla Hills,2,2,836,Semi Furnished,5-10 years,39.54,32896.42
Shivaji Nagar,5,4,2292,Fully Furnished,New,158.24,139125.45
Gandhi nagar,1,1,622,Fully Furnished,5-10 years,27.36,27016.48
ibrahimpura,3,3,1237,Semi Furnished,5-10 years,69.23,81080.91
chuna bhatti,4,3,2015,Fully Furnished,1-5 years,99.21,118405.32
Anand nagar,5,4,2942,Fully Furnished,New,120.16,135790.91
Govindpura,2,2,1028,Fully Furnished,5-10 years,42.97,38871.8
Chuna Bhatti,1,1,711,Semi Furnished,New,41.36,43150.5
Sonagiri,3,3,1457,Semi Furnished,5-10 years,81.75,75274.85
Shanti Nagar,1,1,773,Semi Furnished,10+ years,32.94,30222.52
Misrod,4,3,2181,Semi Furnished,1-5 years,116.0,127529.65
Narela,5,4,2895,Unfurnished,10+ years,120.22,134177.91
Chuna Bhatti,3,3,1407,Semi Furnished,New,60.73,61837.81
New market,5,4,2555,Semi Furnished,1-5 years,169.25,192932.88
Misrod,3,3,1085,Unfurnished,New,58.33,57608.38
Hoshangabad Road,4,3,1407,Fully Furnished,1-5 years,72.92,65750.07
Prabhat petrol pump,5,4,2028,Unfurnished,5-10 years,123.3,110034.72
chuna bhatti,5,4,2149,Semi Furnished,5-10 years,148.02,129869.21
Karond,4,3,1844,Unfurnished,New,120.96,123170.68
Hoshangabad Road,3,3,1352,Fully Furnished,New,74.73,80761.51
Bairagarh,3,3,1062,Semi Furnished,5-10 years,49.24,52938.33
Gandhi nagar,4,3,1569,Semi Furnished,1-5 years,94.67,103670.75
Govindpura,1,1,507,Fully Furnished,1-5 years,22.56,27015.46
Shivaji Nagar,1,1,435,Fully Furnished,5-10 years,19.75,23535.19
Kamla Nagar,2,2,1073,Fully Furnished,New,51.11,45854.49
Ayodhya bypass,5,4,2830,Unfurnished,5-10 years,190.23,220737.81
Ayodhya nagar,4,3,1599,Semi Furnished,5-10 years,70.32,67711.48
Govindpura,2,2,1163,Semi Furnished,5-10 years,80.93,78896.39
Roshanpura,3,3,1331,Semi Furnished,New,53.66,52678.63
Kolar Road,1,1,538,Fully Furnished,New,32.89,36144.03
Lalghati,1,1,454,Fully Furnished,5-10 years,27.8,26143.73
Sonagiri,4,3,2062,Unfurnished,5-10 years,121.33,120976.99
Govindpura,2,2,726,Semi Furnished,5-10 years,41.18,40319.58
Piplani,3,3,1384,Unfurnished,10+ years,90.81,102581.4
Kolar Road,4,3,2190,Fully Furnished,1-5 years,135.71,131006.09
Habibganj,1,1,448,Fully Furnished,1-5 years,27.32,29559.09
Karond,3,3,1237,Semi Furnished,New,86.2,94325.74
Roshanpura,4,3,1666,Fully Furnished,10+ years,85.85,70846.12
Indrapuri,5,4,2258,Semi Furnished,New,123.91,148274.31
Sonagiri,5,4,2192,Unfurnished,New,143.6,146600.0
eidgah hills,2,2,812,Fully Furnished,New,48.32,49950.97
jahangirabad,5,4,2228,Fully Furnished,10+ years,153.39,174607.17
Hoshangabad Road,5,4,2257,Unfurnished,5-10 years,145.89,167687.29
Vikas Nagar,2,2,1079,Fully Furnished,5-10 years,63.6,54192.01
chuna bhatti,2,2,923,Fully Furnished,New,41.51,36963.55
New market,2,2,744,Fully Furnished,10+ years,37.32,37492.85
Hoshangabad Road,3,3,1384,Fully Furnished,New,62.43,51016.25
Kolar Road,4,3,2172,Semi Furnished,10+ years,149.6,133576.81
Barkheda,2,2,973,Unfurnished,1-5 years,67.98,65860.25
Piplani,1,1,752,Unfurnished,1-5 years,49.41,47243.04
Avadhpuri,5,4,2445,Fully Furnished,New,133.06,134149.1
Govindpura,3,3,1055,Fully Furnished,5-10 years,73.49,69674.47
MP Nagar,3,3,1203,Unfurnished,10+ years,81.94,84490.13
Lalghati,4,3,1986,Fully Furnished,New,85.78,72859.08
chuna bhatti,2,2,1150,Semi Furnished,1-5 years,77.93,84345.9
New market,2,2,1062,Unfurnished,5-10 years,59.42,48092.73
Misrod,3,3,1349,Unfurnished,New,80.49,94565.47
jahangirabad,2,2,1124,Fully Furnished,1-5 years,64.51,69653.83
Habibganj,3,3,1538,Semi Furnished,5-10 years,80.01,95106.77
jahangirabad,2,2,1087,Fully Furnished,New,56.45,57440.27
Saket nagar,1,1,504,Fully Furnished,5-10 years,30.07,30779.86
Karond,4,3,1590,Semi Furnished,5-10 years,85.41,96262.29
Bairagarh,3,3,1357,Unfurnished,1-5 years,68.13,78110.29
jahangirabad,1,1,672,Fully Furnished,New,28.39,26888.28
jahangirabad,2,2,1139,Fully Furnished,5-10 years,56.15,45497.71
Piplani,5,4,2695,Unfurnished,10+ years,122.72,122289.95
Shivaji Nagar,5,4,2793,Semi Furnished,New,188.86,225837.07
Bittan Market,4,3,2021,Fully Furnished,10+ years,85.4,89894.13
Ashoka garden,2,2,1156,Semi Furnished,10+ years,70.57,75220.42
Bairagarh,4,3,2108,Semi Furnished,1-5 years,122.96,114182.66
Kamla Nagar,4,3,1426,Fully Furnished,1-5 years,60.14,54086.55
Service road,4,3,2071,Unfurnished,1-5 years,137.28,146364.68
MP Nagar,5,4,2972,Unfurnished,5-10 years,182.09,200550.92
Avadhpuri,5,4,2803,Fully Furnished,New,142.67,116459.62
Kolar Road,1,1,697,Unfurnished,5-10 years,34.43,35099.15
Bawadiya Kalan,1,1,506,Semi Furnished,New,22.86,22446.99
Ashoka garden,4,3,2012,Fully Furnished,5-10 years,121.84,116171.86
Kolar Road,1,1,510,Unfurnished,10+ years,34.27,40964.11
Minal,4,3,1605,Semi Furnished,10+ years,81.17,82347.96
ibrahimpura,4,3,1615,Unfurnished,New,67.5,65688.66
Indrapuri,1,1,634,Fully Furnished,1-5 years,42.05,37311.59
Hoshangabad Road,5,4,2425,Fully Furnished,10+ years,100.84,116843.88
Saket nagar,2,2,1021,Unfurnished,New,63.73,53669.01
Service road,5,4,2175,Unfurnished,1-5 years,109.37,126669.27
Piplani,4,3,1975,Fully Furnished,New,118.58,112359.45
Arjun Nagar,1,1,709,Fully Furnished,5-10 years,46.32,51642.49
char Imli,2,2,1004,Fully Furnished,10+ years,44.12,42738.29
Sonagiri,2,2,1125,Fully Furnished,New,76.65,75452.82
sultaniya road,1,1,470,Fully Furnished,1-5 years,27.33,22694.58
Shanti Nagar,5,4,2351,Fully Furnished,10+ years,147.34,138989.05
Arera Colony,1,1,757,Fully Furnished,New,36.46,36965.09
Avadhpuri,2,2,1122,Fully Furnished,New,61.59,59703.0
kohefiza,1,1,723,Unfurnished,10+ years,37.67,41492.51
Karond,3,3,1022,Unfurnished,10+ years,65.91,78712.97
Piplani,2,2,712,Unfurnished,5-10 years,36.19,32669.35
Karond,2,2,1155,Unfurnished,5-10 years,58.42,62262.19
Ashoka garden,3,3,1032,Unfurnished,1-5 years,70.33,66420.26
sultaniya road,3,3,1273,Unfurnished,5-10 years,62.1,63478.31
Indrapuri,4,3,1447,Semi Furnished,10+ years,66.56,60001.26
Roshanpura,1,1,666,Fully Furnished,10+ years,28.81,28991.49
Avadhpuri,2,2,1016,Semi Furnished,5-10 years,51.1,55876.64
Shivaji Nagar,4,3,1486,Unfurnished,New,94.89,113432.7
eidgah hills,3,3,1270,Unfurnished,5-10 years,79.55,77922.41
Tajul masjid,5,4,2955,Fully Furnished,New,148.8,140378.13
Ayodhya bypass,1,1,532,Semi Furnished,5-10 years,33.98,29315.35
Nizamuddin colony,2,2,824,Fully Furnished,1-5 years,45.08,40287.88
Shanti Nagar,1,1,684,Semi Furnished,New,41.25,44029.94
jahangirabad,1,1,788,Fully Furnished,5-10 years,38.78,31768.37
Shyamla Hills,4,3,1425,Fully Furnished,1-5 years,71.84,70745.07
Minal,4,3,1589,Unfurnished,New,88.07,85089.95
Hoshangabad Road,3,3,1587,Semi Furnished,5-10 years,101.48,85945.2
char Imli,4,3,1675,Semi Furnished,10+ years,94.89,97134.16
Ayodhya bypass,4,3,2058,Fully Furnished,5-10 years,87.11,69942.52
Chuna Bhatti,3,3,1210,Semi Furnished,10+ years,71.16,74419.03
Chuna Bhatti,4,3,1910,Unfurnished,5-10 years,103.4,83256.51
Narela,2,2,1089,Fully Furnished,1-5 years,64.8,76607.89
char Imli,2,2,1199,Fully Furnished,1-5 years,52.85,48544.87
Shyamla Hills,2,2,900,Semi Furnished,5-10 years,60.91,63089.19
Gandhi nagar,1,1,704,Semi Furnished,10+ years,38.84,44561.23
Avadhpuri,2,2,989,Fully Furnished,New,67.22,78602.16
char Imli,2,2,1149,Semi Furnished,1-5 years,79.32,74003.57
chuna bhatti,1,1,507,Unfurnished,10+ years,25.75,21628.25
Bawadiya Kalan,3,3,1305,Fully Furnished,10+ years,81.13,86212.03
Lalghati,5,4,2316,Unfurnished,New,148.33,174022.89
Arera Colony,1,1,649,Fully Furnished,10+ years,31.89,30945.9
char Imli,1,1,473,Semi Furnished,1-5 years,22.89,22802.8
Barkheda,2,2,803,Semi Furnished,5-10 years,32.65,27538.68
Barkheda,4,3,1635,Unfurnished,1-5 years,92.44,103484.72
Ratnagiri,2,2,719,Semi Furnished,New,34.54,34266.6
sultaniya road,1,1,444,Unfurnished,10+ years,24.48,22551.19
Shivaji Nagar,4,3,2015,Fully Furnished,New,136.24,134711.38
Barkheda,5,4,2123,Unfurnished,1-5 years,111.48,114074.19
Prabhat petrol pump,1,1,480,Unfurnished,New,30.28,33690.8
Arera Colony,3,3,1594,Semi Furnished,1-5 years,105.7,114269.71
ibrahimpura,3,3,1346,Fully Furnished,10+ years,73.62,63917.93
Arera Colony,1,1,625,Semi Furnished,New,25.38,21317.88
char Imli,1,1,457,Semi Furnished,10+ years,25.2,27361.68
Bittan Market,2,2,1097,Fully Furnished,1-5 years,68.84,59882.1
Indrapuri,5,4,2821,Unfurnished,5-10 years,121.91,101215.46
Vijay nagar,5,4,2930,Semi Furnished,1-5 years,119.18,96775.45
Shivaji Nagar,2,2,1018,Semi Furnished,New,41.66,38180.76
Bawadiya Kalan,5,4,2521,Fully Furnished,1-5 years,169.31,162773.95
Arjun Nagar,5,4,2941,Semi Furnished,5-10 years,144.56,128816.34
Saket nagar,2,2,722,Fully Furnished,10+ years,43.54,35556.8
Ayodhya nagar,2,2,889,Semi Furnished,10+ years,42.28,41158.42
Roshanpura,5,4,2808,Fully Furnished,5-10 years,153.11,125445.67
Vikas Nagar,5,4,2599,Unfurnished,10+ years,120.39,105763.59
Habibganj,1,1,509,Fully Furnished,5-10 years,32.61,37701.03
Barkheda,5,4,2572,Semi Furnished,10+ years,131.28,105056.88
Gulmohar,5,4,2498,Semi Furnished,5-10 years,130.44,137043.4
Saket nagar,1,1,492,Unfurnished,5-10 years,22.72,20078.34
Ashoka garden,5,4,2148,Fully Furnished,1-5 years,148.86,177681.75
Tajul masjid,3,3,1558,Semi Furnished,New,95.64,85462.75
Narela,3,3,1166,Semi Furnished,New,47.62,56581.25
Gulmohar,2,2,812,Fully Furnished,5-10 years,45.72,45316.24
Kamla Nagar,1,1,623,Fully Furnished,10+ years,30.36,34195.47
Kamla Nagar,5,4,2978,Semi Furnished,New,154.13,139543.2
VIP road,3,3,1400,Unfurnished,5-10 years,62.37,49905.27
kohefiza,4,3,2188,Unfurnished,5-10 years,142.69,158945.91
Vijay nagar,5,4,2672,Fully Furnished,1-5 years,138.42,112605.99
jahangirabad,2,2,913,Semi Furnished,10+ years,54.95,47325.28
Shanti Nagar,1,1,694,Fully Furnished,1-5 years,48.5,56019.52
Minal,4,3,1707,Fully Furnished,10+ years,99.77,96541.87
ibrahimpura,5,4,2670,Semi Furnished,5-10 years,135.0,120493.77
Shivaji Nagar,3,3,1275,Unfurnished,10+ years,67.03,77564.14
Karond,3,3,1408,Fully Furnished,10+ years,58.16,64505.38
Shivaji Nagar,2,2,775,Unfurnished,1-5 years,43.01,42147.77
Tajul masjid,2,2,1178,Fully Furnished,10+ years,58.91,48868.85
Lalghati,1,1,727,Unfurnished,New,34.17,36045.71
jahangirabad,2,2,1106,Unfurnished,10+ years,45.6,45651.07
Narela,1,1,790,Semi Furnished,1-5 years,38.46,35506.51
Shivaji Nagar,3,3,1236,Unfurnished,10+ years,60.89,58275.98
Bairagarh,1,1,557,Unfurnished,5-10 years,34.33,27922.46
MP Nagar,3,3,1450,Unfurnished,5-10 years,88.12,77614.0
Piplani,1,1,792,Unfurnished,New,33.56,27893.64
Service road,1,1,769,Semi Furnished,5-10 years,42.43,42970.33
Govindpura,2,2,716,Fully Furnished,5-10 years,44.37,37253.93
Sonagiri,4,3,1841,Fully Furnished,New,122.18,123936.89
Kolar Road,5,4,2491,Fully Furnished,1-5 years,154.04,171151.61
Gulmohar,3,3,1546,Unfurnished,5-10 years,94.62,106631.14
Habibganj,1,1,405,Unfurnished,1-5 years,19.33,21410.52
VIP road,3,3,1535,Fully Furnished,1-5 years,92.3,77958.98
Ayodhya nagar,2,2,1038,Fully Furnished,1-5 years,55.78,58089.61
Roshanpura,1,1,431,Semi Furnished,5-10 years,20.1,17446.31
Ratnagiri,3,3,1404,Unfurnished,10+ years,75.73,84526.3
Service road,5,4,2483,Semi Furnished,5-10 years,136.91,162390.81
Misrod,1,1,400,Fully Furnished,1-5 years,18.84,19718.38
Piplani,5,4,2832,Semi Furnished,1-5 years,183.48,155847.47
Ayodhya bypass,1,1,718,Semi Furnished,New,31.98,31101.2
Bairagarh,3,3,1144,Fully Furnished,1-5 years,67.35,73667.3
Roshanpura,4,3,1543,Unfurnished,10+ years,63.0,70763.89
Ayodhya bypass,4,3,1482,Unfurnished,10+ years,93.15,106337.64
VIP road,1,1,569,Semi Furnished,1-5 years,39.44,36845.17
Shanti Nagar,4,3,1673,Fully Furnished,New,71.58,62981.79
Tajul masjid,5,4,2679,Fully Furnished,5-10 years,168.93,168033.34
sultaniya road,2,2,949,Fully Furnished,5-10 years,58.75,58069.72
Shanti Nagar,5,4,2012,Semi Furnished,New,107.69,125808.46
Tajul masjid,4,3,1819,Unfurnished,10+ years,79.54,81986.38
Bairagarh,2,2,821,Unfurnished,New,54.35,59433.0
Narela,1,1,619,Unfurnished,5-10 years,37.92,33237.28
Lalghati,4,3,1971,Fully Furnished,1-5 years,81.34,65106.43
Bittan Market,2,2,1080,Unfurnished,10+ years,61.29,73074.88
Misrod,1,1,729,Semi Furnished,New,35.2,33072.49
Shivaji Nagar,3,3,1557,Unfurnished,10+ years,96.18,93943.37
Tajul masjid,4,3,1714,Fully Furnished,1-5 years,89.15,79504.71
Vikas Nagar,3,3,1173,Semi Furnished,New,79.33,80208.11
Chuna Bhatti,3,3,1104,Fully Furnished,1-5 years,66.89,70534.1
Kolar Road,3,3,1081,Fully Furnished,1-5 years,65.17,66829.6
Kamla Nagar,4,3,2190,Semi Furnished,1-5 years,113.41,109754.62
Roshanpura,5,4,2390,Semi Furnished,10+ years,97.4,86027.7
Piplani,3,3,1272,Semi Furnished,1-5 years,82.05,98039.0
Kolar Road,2,2,1146,Unfurnished,New,76.01,83258.1
Hoshangabad Road,1,1,766,Unfurnished,1-5 years,46.99,42898.54
Gulmohar,2,2,1162,Fully Furnished,5-10 years,59.23,61101.68
ibrahimpura,5,4,2243,Fully Furnished,1-5 years,141.71,158588.28
Govindpura,2,2,708,Semi Furnished,10+ years,44.61,38221.98
Anand nagar,3,3,1264,Fully Furnished,10+ years,53.67,56962.91
Narela,1,1,717,Semi Furnished,New,32.83,26462.96
Ashoka garden,3,3,1395,Semi Furnished,New,88.69,79469.51
kohefiza,4,3,1862,Semi Furnished,10+ years,101.35,121429.61
Kolar hills,3,3,1406,Semi Furnished,5-10 years,66.98,57535.03
Kolar Road,1,1,534,Fully Furnished,10+ years,23.97,24784.85
Govindpura,1,1,613,Semi Furnished,5-10 years,29.15,32411.1
VIP road,4,3,1599,Unfurnished,New,69.67,64433.95
Tajul masjid,4,3,1449,Fully Furnished,New,72.31,58739.76
Bairagarh,1,1,711,Fully Furnished,1-5 years,37.42,42475.6
Arjun Nagar,2,2,832,Fully Furnished,5-10 years,43.44,51143.76
Bittan Market,5,4,2975,Fully Furnished,1-5 years,176.2,167622.93
Avadhpuri,5,4,2883,Fully Furnished,New,126.57,138509.16
char Imli,5,4,2721,Semi Furnished,New,159.11,153370.92
Ayodhya nagar,1,1,419,Unfurnished,10+ years,16.99,16408.31
Bawadiya Kalan,4,3,1711,Fully Furnished,New,78.75,86151.52
VIP road,1,1,519,Semi Furnished,1-5 years,32.66,37406.95
Vijay nagar,4,3,1965,Unfurnished,1-5 years,111.2,120364.03
Indrapuri,5,4,2729,Unfurnished,1-5 years,176.52,201230.99
Habibganj,4,3,2015,Fully Furnished,New,101.64,94896.11
Misrod,4,3,1811,Fully Furnished,10+ years,107.83,119938.33
Lalghati,4,3,1767,Fully Furnished,5-10 years,115.45,98083.25
Arera Colony,2,2,829,Semi Furnished,10+ years,38.2,37649.79
Avadhpuri,3,3,1430,Unfurnished,10+ years,73.2,75631.92
Indrapuri,4,3,1505,Fully Furnished,1-5 years,73.82,60257.83
Prabhat petrol pump,5,4,2905,Semi Furnished,5-10 years,157.1,134956.38
VIP road,4,3,1626,Semi Furnished,5-10 years,99.77,96894.04
Barkheda,4,3,1507,Semi Furnished,1-5 years,77.75,81802.46
Ayodhya bypass,3,3,1352,Fully Furnished,1-5 years,62.19,72391.96
Shivaji Nagar,1,1,604,Fully Furnished,1-5 years,33.74,35326.73
Tajul masjid,3,3,1154,Semi Furnished,New,51.85,44737.49
Kolar Road,4,3,1705,Semi Furnished,New,106.14,106257.18
Gandhi nagar,1,1,715,Fully Furnished,10+ years,35.21,29032.64
Kolar Road,2,2,1181,Semi Furnished,5-10 years,68.18,76765.94
sultaniya road,4,3,1715,Fully Furnished,10+ years,114.52,133682.0
Misrod,4,3,1952,Unfurnished,5-10 years,92.95,93920.58
Indrapuri,1,1,579,Fully Furnished,New,34.68,35130.49
Anand nagar,1,1,799,Fully Furnished,New,50.97,56834.38
Barkheda,1,1,426,Unfurnished,10+ years,29.16,24387.26
Sonagiri,1,1,721,Semi Furnished,5-10 years,37.1,40945.4
Chuna Bhatti,4,3,1984,Fully Furnished,10+ years,104.11,113172.98
Saket nagar,4,3,1596,Semi Furnished,5-10 years,67.05,67651.05
Arera Colony,4,3,2017,Fully Furnished,10+ years,96.85,105324.57
Anand nagar,3,3,1355,Unfurnished,5-10 years,78.36,82836.79
kohefiza,2,2,1006,Semi Furnished,1-5 years,53.04,51654.01
Chuna Bhatti,2,2,888,Unfurnished,1-5 years,41.03,39026.58
char Imli,4,3,2121,Semi Furnished,New,98.63,84863.99
char Imli,1,1,761,Unfurnished,5-10 years,31.79,36490.67
Habibganj,2,2,1147,Unfurnished,5-10 years,54.21,57367.85
jahangirabad,3,3,1262,Unfurnished,1-5 years,61.36,73586.4
Narela,4,3,1931,Semi Furnished,5-10 years,110.44,96905.77
Hoshangabad Road,3,3,1563,Fully Furnished,5-10 years,91.54,76594.59
Ashoka garden,4,3,1498,Unfurnished,10+ years,92.2,76714.22
Ayodhya bypass,2,2,806,Semi Furnished,5-10 years,33.15,37059.37
Sonagiri,4,3,1710,Fully Furnished,1-5 years,110.26,123847.24
Shanti Nagar,1,1,638,Fully Furnished,New,39.94,39751.49
Saket nagar,2,2,779,Semi Furnished,10+ years,34.96,38204.5
char Imli,3,3,1434,Semi Furnished,10+ years,87.74,76854.29
sultaniya road,5,4,2236,Semi Furnished,New,120.04,130557.92
Anand nagar,5,4,2436,Unfurnished,5-10 years,114.83,114966.45
Bawadiya Kalan,3,3,1409,Semi Furnished,New,92.16,92750.49
Saket nagar,5,4,2842,Fully Furnished,10+ years,183.13,208601.07
Habibganj,4,3,1432,Unfurnished,5-10 years,93.13,92261.58
Shanti Nagar,1,1,716,Unfurnished,5-10 years,35.08,33910.09
Habibganj,4,3,1599,Fully Furnished,1-5 years,95.93,78966.54
Lalghati,2,2,1092,Unfurnished,10+ years,64.62,72606.26
Service road,2,2,1168,Fully Furnished,1-5 years,52.46,52001.95
Ashoka garden,4,3,1664,Fully Furnished,New,84.91,76239.25
Kolar hills,5,4,2465,Semi Furnished,10+ years,158.38,147375.6
ibrahimpura,5,4,2348,Fully Furnished,1-5 years,143.76,138273.91
Narela,5,4,2091,Semi Furnished,5-10 years,100.07,102419.93
Prabhat petrol pump,1,1,703,Fully Furnished,10+ years,34.86,30534.79
Vikas Nagar,4,3,2171,Fully Furnished,5-10 years,141.05,134604.42
Misrod,1,1,694,Semi Furnished,1-5 years,36.63,38226.17
Lalghati,2,2,750,Semi Furnished,New,47.82,38901.7
Habibganj,4,3,1589,Semi Furnished,10+ years,95.3,112645.64
Kolar Road,1,1,739,Semi Furnished,10+ years,36.4,31709.71
