location,floors,rooms,washroom,total_sqft,furnishing,age,price,rent
Lalghati,1,1,4,642,Furnished,26,3053045,9406
Prabhat petrol pump,1,1,4,407,Unfurnished,1,2056591,7401
Karond,1,2,2,637,Semi-Furnished,13,3178456,9006
Ratnagiri,2,4,3,1185,Semi-Furnished,28,5549899,14003
Kolar hills,2,3,1,1048,Semi-Furnished,13,5206117,15011
Bawadiya Kalan,4,11,4,3145,Unfurnished,3,14233538,39456
Nizamuddin colony,2,3,1,899,Furnished,19,5830691,19237
Prabhat petrol pump,5,16,2,4539,Unfurnished,6,22324081,64743
Avadhpuri,2,2,2,1022,Semi-Furnished,26,4409012,15258
Ayodhya nagar,2,2,4,921,Semi-Furnished,9,5710886,20151
Bairagarh,2,2,1,873,Unfurnished,2,3983021,10174
Kolar Road,2,3,3,869,Unfurnished,17,4330062,11396
Habibganj,1,1,2,551,Furnished,7,2932842,10319
Anand nagar,4,4,3,3052,Semi-Furnished,16,17649591,58261
Anand nagar,4,11,4,2962,Furnished,11,17243837,57201
Lalghati,4,5,3,2660,Unfurnished,2,12740844,36653
Arera Colony,1,1,2,487,Unfurnished,18,3710317,11744
Avadhpuri,4,4,4,3162,Semi-Furnished,0,13877408,42406
Vijay nagar,3,6,2,1541,Unfurnished,13,11079385,38632
Arjun Nagar,1,1,4,532,Unfurnished,29,3208347,11502
Saket nagar,2,4,3,1161,Semi-Furnished,6,7836081,24722
Chuna Bhatti,1,2,3,628,Furnished,1,2936689,7499
Habibganj,1,2,1,759,Furnished,4,4118083,13760
Karond,1,1,3,434,Semi-Furnished,1,2070660,5230
Roshanpura,3,3,3,1692,Unfurnished,26,8037987,24609
Shyamla Hills,3,4,3,1250,Semi-Furnished,17,9392788,29946
Barkheda,5,11,4,3863,Unfurnished,9,17077775,50152
VIP road,4,6,1,2301,Unfurnished,0,14909859,46744
Arjun Nagar,1,1,1,799,Furnished,13,4824113,17527
Vikas Nagar,1,1,2,765,Semi-Furnished,0,5292275,16782
Minal,2,2,3,1148,Furnished,13,5473846,13487
Arera Colony,1,1,4,409,Furnished,10,3119879,8651
Kamla Nagar,5,12,4,4080,Unfurnished,6,21176211,64433
char Imli,5,7,2,4417,Furnished,25,29219387,94555
Saket nagar,5,10,1,3339,Semi-Furnished,9,22660435,78662
Arera Colony,1,3,3,755,Semi-Furnished,5,5677379,19211
Lalghati,2,3,2,987,Semi-Furnished,17,4778314,12363
Service road,3,4,2,1720,Furnished,23,10067555,32641
Gandhi nagar,3,5,1,1824,Unfurnished,2,11218107,41175
Avadhpuri,1,1,1,487,Furnished,6,2161056,5995
Vijay nagar,5,7,2,3870,Furnished,27,27785704,94711
Bawadiya Kalan,3,5,1,1773,Semi-Furnished,27,7976327,22199
kohefiza,5,9,3,3038,Furnished,26,13629372,37823
Kamla Nagar,5,11,3,3908,Unfurnished,12,20378699,61004
Govindpura,3,5,1,1347,Semi-Furnished,26,7097360,20137
Bawadiya Kalan,3,3,2,1531,Furnished,6,6988607,17998
VIP road,1,1,1,743,Semi-Furnished,18,4823144,15897
Indrapuri,3,4,4,1636,Unfurnished,12,6623580,16326
New market,1,1,3,446,Semi-Furnished,9,3205262,9965
Habibganj,2,2,1,938,Semi-Furnished,23,5172634,15494
Anand nagar,1,2,4,673,Semi-Furnished,13,3943011,10987
Kolar hills,1,2,2,662,Semi-Furnished,22,3374053,10907
Kolar Road,3,4,2,1324,Unfurnished,8,6623982,21684
kohefiza,1,1,1,453,Semi-Furnished,23,2016614,5523
Narela,5,8,3,4394,Furnished,10,18822263,47828
Lalghati,2,2,1,804,Semi-Furnished,23,3918994,10382
eidgah hills,3,4,4,1231,Semi-Furnished,6,7359609,23325
sultaniya road,5,5,1,3902,Unfurnished,2,20376044,61425
Bairagarh,5,10,4,4413,Furnished,16,19770156,51434
Ratnagiri,5,15,1,4726,Furnished,9,22139596,63230
Ayodhya nagar,5,15,3,4773,Unfurnished,29,29602587,110908
Prabhat petrol pump,2,3,1,916,Unfurnished,27,4460301,14080
VIP road,2,3,2,925,Furnished,13,5950222,17516
Ratnagiri,4,9,1,2430,Semi-Furnished,28,11488275,31873
Karond,2,4,1,1110,Semi-Furnished,21,5447090,15723
Arjun Nagar,2,3,4,903,Furnished,15,5366746,17776
sultaniya road,2,3,3,1006,Semi-Furnished,29,5312935,14510
Kolar hills,1,2,1,746,Semi-Furnished,10,3690864,9879
Sonagiri,3,4,4,1404,Semi-Furnished,5,6406666,15579
Narela,2,3,1,1021,Semi-Furnished,7,4480205,11456
Service road,3,7,1,1860,Furnished,22,10873247,36496
sultaniya road,1,1,1,480,Semi-Furnished,3,2548160,6680
Service road,4,4,1,2268,Furnished,21,13202408,43939
Kamla Nagar,4,4,2,3489,Furnished,22,18142211,56063
Shanti Nagar,4,12,4,3377,Unfurnished,8,19960727,65237
Gandhi nagar,4,5,1,2025,Unfurnished,4,12480185,45936
Bairagarh,1,3,1,758,Unfurnished,19,3464011,9402
VIP road,2,3,3,945,Unfurnished,7,6125684,21473
Habibganj,5,10,2,4098,Unfurnished,2,22528903,74775
Narela,4,9,1,3046,Furnished,7,13167113,32164
Ratnagiri,1,1,4,410,Unfurnished,25,1902213,5102
Barkheda,5,8,4,4619,Semi-Furnished,25,20305022,61695
Service road,3,3,4,1261,Furnished,16,7316183,25843
Narela,1,1,2,443,Unfurnished,22,1885586,3920
Tajul masjid,4,9,3,2510,Semi-Furnished,5,13729965,44663
Ayodhya bypass,3,5,3,1506,Furnished,2,8025636,25509
New market,5,13,4,4833,Semi-Furnished,10,33887869,105141
Bairagarh,3,3,1,1919,Semi-Furnished,12,8572882,24503
Ayodhya bypass,2,3,3,1088,Furnished,14,5858285,18845
Vijay nagar,2,2,3,1029,Unfurnished,0,7341601,23611
Indrapuri,5,14,4,3526,Semi-Furnished,25,14159896,33665
Ayodhya nagar,1,2,2,757,Semi-Furnished,8,4719368,17734
Minal,2,3,1,1165,Unfurnished,10,5376638,13167
Karond,5,12,4,3774,Semi-Furnished,2,18471489,53309
Piplani,4,6,4,2020,Semi-Furnished,29,14144464,44296
kohefiza,3,4,3,1208,Semi-Furnished,5,5376267,15015
Prabhat petrol pump,2,2,1,1105,Furnished,7,5352847,15381
MP Nagar,4,5,1,2506,Semi-Furnished,9,20036822,61185
Arjun Nagar,1,1,3,734,Unfurnished,15,4469017,13370
Roshanpura,2,2,3,1082,Unfurnished,27,5222238,14417
VIP road,5,14,4,3647,Furnished,6,23610945,74787
VIP road,4,8,4,3452,Furnished,12,22436217,74316
Vikas Nagar,4,11,4,3448,Unfurnished,20,23453184,81236
Kolar hills,5,5,4,3407,Furnished,30,17069066,51020
Misrod,3,7,2,1933,Unfurnished,15,8202570,21612
ibrahimpura,4,7,4,3289,Furnished,1,14134367,34961
char Imli,5,14,4,4496,Semi-Furnished,30,29682354,94614
Ashoka garden,2,3,3,918,Unfurnished,11,4796893,16111
Ratnagiri,4,8,1,3233,Unfurnished,4,15251775,41252
kohefiza,1,1,3,542,Semi-Furnished,18,2447009,5912
Kolar hills,2,2,2,892,Furnished,9,4388011,13768
Narela,3,4,2,1308,Furnished,6,5539476,12678
MP Nagar,4,9,1,2751,Furnished,29,21969943,67771
Sonagiri,4,11,2,3281,Furnished,9,15134435,41204
Piplani,3,4,2,1334,Furnished,20,9430008,28506
Barkheda,3,5,3,1910,Furnished,12,8490933,24600
Arera Colony,3,5,2,1327,Unfurnished,17,9902748,32839
Tajul masjid,4,8,4,2725,Furnished,0,14964407,50817
Hoshangabad Road,3,7,4,1752,Unfurnished,7,8896394,24474
Arera Colony,1,1,3,505,Furnished,20,3801064,12874
Saket nagar,5,8,4,3875,Unfurnished,26,26280099,89566
chuna bhatti,4,4,2,2878,Semi-Furnished,23,13449356,35828
Chuna Bhatti,2,3,2,923,Unfurnished,2,4396903,13258
Kamla Nagar,2,2,3,1112,Semi-Furnished,3,5775267,16592
Kolar Road,1,1,4,528,Unfurnished,18,2655807,9385
Prabhat petrol pump,5,11,1,3918,Unfurnished,7,19098889,53101
chuna bhatti,2,4,3,1107,Semi-Furnished,0,5237098,16253
Narela,2,2,1,1012,Semi-Furnished,8,4285642,10109
sultaniya road,1,1,4,490,Furnished,23,2508277,9767
Kamla Nagar,5,9,4,4846,Unfurnished,4,25171264,76784
Chuna Bhatti,1,1,4,601,Unfurnished,30,2725902,9623
Shivaji Nagar,4,6,3,3127,Semi-Furnished,22,18686106,61045
Shivaji Nagar,3,5,4,1561,Semi-Furnished,13,9266889,30960
Arera Colony,1,1,1,573,Semi-Furnished,12,4273105,13444
Narela,2,2,3,943,Furnished,26,4093234,11568
Ayodhya nagar,4,6,2,2364,Furnished,11,14625765,52777
eidgah hills,4,4,2,2089,Semi-Furnished,21,12626854,42765
Vikas Nagar,2,3,2,845,Unfurnished,16,5800735,20026
Roshanpura,3,4,3,1991,Unfurnished,16,9600039,26270
Misrod,5,6,3,4604,Furnished,24,19270546,51060
Bairagarh,1,2,1,671,Unfurnished,15,3002855,8253
Arjun Nagar,2,3,3,1045,Unfurnished,26,6366589,21974
Prabhat petrol pump,1,2,3,641,Furnished,20,3127638,10412
Lalghati,2,2,3,934,Semi-Furnished,17,4408398,14941
Gandhi nagar,1,1,2,510,Unfurnished,6,3222481,9835
sultaniya road,2,3,3,1017,Furnished,21,5342691,16233
Bairagarh,2,4,2,1030,Semi-Furnished,12,4535520,10570
Chuna Bhatti,2,2,1,1169,Furnished,16,5584079,15146
kohefiza,5,10,3,4853,Unfurnished,20,21933369,57203
kohefiza,2,2,4,824,Furnished,26,3704789,8020
Misrod,1,1,1,626,Furnished,22,2550738,6085
Chuna Bhatti,5,8,1,3648,Semi-Furnished,20,17063939,45937
New market,3,3,4,1487,Unfurnished,18,10316486,32340
chuna bhatti,5,7,4,4676,Unfurnished,6,21932369,62761
char Imli,4,11,2,3478,Unfurnished,24,22946534,73540
Roshanpura,5,10,4,3211,Semi-Furnished,12,15322581,45475
Karond,2,2,4,1182,Unfurnished,10,5737433,17260
Lalghati,5,12,1,3556,Unfurnished,24,17024090,49790
Ratnagiri,5,10,2,3027,Unfurnished,22,14272669,37884
Kolar hills,2,3,1,840,Semi-Furnished,13,4263502,12299
Bairagarh,3,4,4,1543,Semi-Furnished,11,6926843,16642
Ayodhya bypass,5,11,1,3286,Unfurnished,1,17469141,51751
sultaniya road,1,1,3,671,Unfurnished,14,3497904,11040
Habibganj,3,4,4,1879,Furnished,26,10321992,33702
Bawadiya Kalan,2,2,4,943,Furnished,27,4199586,10906
Bairagarh,5,12,3,4045,Unfurnished,12,18168489,49805
Arera Colony,4,8,1,2275,Semi-Furnished,7,17086616,55699
Kolar Road,4,11,1,3219,Semi-Furnished,23,16125367,49708
Bairagarh,3,3,4,1791,Furnished,24,8124301,23189
Arjun Nagar,5,14,2,3827,Unfurnished,18,22972772,75771
ibrahimpura,3,3,1,1707,Furnished,26,7347789,20090
Ashoka garden,4,9,1,2408,Semi-Furnished,22,12577786,40231
Bittan Market,3,7,4,1953,Unfurnished,16,13655571,42795
Minal,2,3,3,1029,Semi-Furnished,10,4863398,15068
Arera Colony,2,2,4,1060,Furnished,15,7947701,24784
Bittan Market,4,8,1,2342,Semi-Furnished,18,16348938,52012
char Imli,3,3,3,1581,Semi-Furnished,23,10503428,33486
Prabhat petrol pump,3,6,3,1552,Furnished,20,7678590,22514
Chuna Bhatti,1,1,3,587,Furnished,16,2813441,8244
Chuna Bhatti,2,3,2,927,Unfurnished,14,4315239,11748
Narela,4,9,1,2757,Semi-Furnished,25,11811302,31915
Bittan Market,4,10,4,3140,Furnished,22,21913471,70771
Ashoka garden,4,11,1,3352,Semi-Furnished,10,17445708,53256
Misrod,5,5,1,3638,Unfurnished,6,15191706,40265
Prabhat petrol pump,5,8,4,4890,Semi-Furnished,11,23985658,67958
Shanti Nagar,4,10,3,2826,Semi-Furnished,22,16588320,52121
Bairagarh,1,2,2,626,Furnished,26,2725729,7534
Prabhat petrol pump,2,4,3,1156,Unfurnished,4,5607635,18165
Minal,1,1,1,414,Unfurnished,29,1910132,4458
Avadhpuri,1,1,3,735,Furnished,24,3209806,8529
Gulmohar,5,11,4,4937,Furnished,2,31601480,103398
Shyamla Hills,2,3,4,944,Semi-Furnished,9,7150439,24408
Chuna Bhatti,1,2,1,661,Unfurnished,10,3105288,9286
Karond,3,6,2,1730,Furnished,10,8453068,24611
New market,5,6,2,4153,Unfurnished,16,29157285,91817
char Imli,4,5,3,3169,Unfurnished,9,20876513,67145
Narela,1,2,1,511,Unfurnished,29,2180817,5434
Misrod,1,1,1,403,Unfurnished,7,1791300,3144
Roshanpura,5,11,1,3184,Semi-Furnished,14,15369000,42721
sultaniya road,1,2,2,771,Semi-Furnished,24,4053527,10946
Arjun Nagar,3,3,4,1690,Unfurnished,8,10126181,35418
Tajul masjid,3,4,1,1505,Unfurnished,7,8290608,26528
char Imli,5,8,3,3764,Semi-Furnished,9,24928652,80391
Service road,5,11,2,3397,Furnished,13,19695339,63588
sultaniya road,5,14,1,4151,Furnished,22,21536716,64988
Nizamuddin colony,4,5,3,3404,Furnished,21,22083915,69588
Sonagiri,4,7,1,3379,Semi-Furnished,19,15449907,41671
Shanti Nagar,1,1,3,737,Unfurnished,12,4249855,12872
chuna bhatti,1,2,2,584,Semi-Furnished,10,2659105,8417
ibrahimpura,5,12,1,3632,Semi-Furnished,18,15687424,38228
Kolar Road,5,7,3,4018,Unfurnished,2,20059780,58993
Shivaji Nagar,3,3,4,1902,Furnished,19,11397776,36906
Shanti Nagar,5,9,4,3041,Furnished,8,18003962,58088
Bairagarh,5,11,2,3673,Furnished,25,16601607,43800
Avadhpuri,5,8,1,4383,Furnished,0,19380516,58408
VIP road,5,9,2,4053,Unfurnished,11,26426143,85087
Ayodhya nagar,1,1,1,442,Furnished,26,2749024,11061
Tajul masjid,5,12,1,4170,Furnished,22,22993668,76244
Vijay nagar,4,8,2,2860,Furnished,1,20688550,70348
jahangirabad,1,1,1,778,Semi-Furnished,18,3506313,9368
Vikas Nagar,5,17,2,4345,Semi-Furnished,8,29535514,99554
Service road,5,8,1,3299,Furnished,16,19077990,63225
Service road,1,3,1,752,Furnished,2,4435655,13197
Govindpura,3,4,1,1681,Unfurnished,30,8862968,26634
Roshanpura,2,3,3,902,Semi-Furnished,6,4261202,13632
Barkheda,1,2,4,608,Furnished,0,2708988,7695
Karond,2,3,4,1047,Semi-Furnished,15,5031246,12710
Shyamla Hills,3,5,3,1815,Furnished,1,13678436,43493
sultaniya road,2,3,3,935,Furnished,14,4829252,13606
Narela,4,8,4,2888,Semi-Furnished,21,12497745,32061
Ayodhya bypass,5,6,1,3790,Furnished,22,20077276,60959
Narela,5,19,2,4756,Unfurnished,23,20537719,51897
kohefiza,3,5,3,1272,Furnished,15,5797606,15200
Avadhpuri,4,5,2,2246,Semi-Furnished,2,9972287,30325
Govindpura,4,6,2,3288,Furnished,12,17488397,52706
Prabhat petrol pump,5,5,1,4073,Unfurnished,11,19945096,57557
Arera Colony,5,6,4,4880,Furnished,23,36521461,117499
Sonagiri,1,2,1,638,Furnished,15,2926290,9316
Lalghati,1,2,1,624,Furnished,8,3037218,9553
Sonagiri,4,11,4,2964,Furnished,21,13537946,35815
Shanti Nagar,1,1,2,511,Furnished,10,2964790,10631
eidgah hills,1,2,2,546,Unfurnished,8,3221949,9821
Kolar hills,4,4,1,2339,Unfurnished,25,11605075,36187
Tajul masjid,1,1,4,483,Unfurnished,2,2711771,10175
Ayodhya bypass,1,1,3,682,Unfurnished,3,3687435,9057
char Imli,5,8,3,3256,Furnished,18,21492546,67523
Shanti Nagar,4,11,3,3342,Furnished,11,19623536,64886
Bawadiya Kalan,2,2,4,930,Semi-Furnished,23,4208140,11923
Indrapuri,2,2,2,991,Furnished,15,3924302,9012
New market,1,1,4,799,Furnished,18,5635950,18174
eidgah hills,2,3,3,1055,Furnished,0,6353308,20246
Indrapuri,2,4,4,1129,Semi-Furnished,16,4589639,10061
Vijay nagar,5,7,2,3482,Semi-Furnished,10,25091904,84924
VIP road,5,14,1,4825,Unfurnished,8,31305874,100375
Tajul masjid,4,9,2,3349,Unfurnished,6,18379309,61392
Bairagarh,1,2,1,684,Unfurnished,15,3166498,9137
Bairagarh,3,3,2,1313,Furnished,1,5859538,15327
Karond,4,4,3,3312,Semi-Furnished,24,16274221,45412
Piplani,3,5,3,1786,Furnished,26,12535025,37365
Gandhi nagar,5,9,1,4354,Furnished,24,26967785,100565
VIP road,3,5,2,1283,Semi-Furnished,12,8390783,27924
kohefiza,1,1,1,528,Furnished,25,2404193,4939
Barkheda,2,2,2,935,Semi-Furnished,30,4046969,11653
Narela,3,3,1,1612,Semi-Furnished,2,6917035,17464
Tajul masjid,2,2,2,892,Unfurnished,20,4957335,15742
eidgah hills,5,13,2,4953,Semi-Furnished,6,29621449,97230
Misrod,2,2,2,923,Unfurnished,25,3924760,10673
Narela,2,3,1,1079,Furnished,3,4589615,11361
Lalghati,5,7,3,3244,Semi-Furnished,18,15618783,44094
Vikas Nagar,5,9,1,4889,Furnished,11,33313530,113292
char Imli,5,8,4,3601,Unfurnished,20,23674614,74936
jahangirabad,5,9,1,3889,Furnished,2,17950094,45970
Lalghati,4,6,3,2880,Semi-Furnished,16,13781812,38417
Kolar hills,2,2,2,943,Furnished,7,4773525,14122
Govindpura,5,9,4,3756,Semi-Furnished,23,19821239,61692
Sonagiri,4,4,4,2652,Furnished,17,12132411,30725
jahangirabad,5,19,1,4915,Semi-Furnished,9,22528024,59296
Shanti Nagar,5,14,3,4136,Semi-Furnished,20,24391584,80483
Govindpura,5,14,3,4417,Unfurnished,29,23468977,72495
VIP road,2,2,1,916,Semi-Furnished,17,5877373,18198
Ratnagiri,4,7,4,3187,Unfurnished,18,15053268,41408
ibrahimpura,4,6,2,2003,Furnished,8,8646643,21584
char Imli,1,2,3,664,Semi-Furnished,22,4460586,14653
kohefiza,1,1,3,444,Semi-Furnished,25,2087707,6816
Kamla Nagar,4,7,2,3347,Semi-Furnished,19,17486022,51641
Kolar hills,3,3,1,1688,Furnished,13,8460016,26418
Karond,1,1,1,736,Semi-Furnished,17,3663735,9491
Nizamuddin colony,4,9,1,2419,Unfurnished,11,15799680,52547
sultaniya road,3,3,2,1825,Unfurnished,1,9496476,31173
Roshanpura,5,17,1,4350,Semi-Furnished,0,20887432,59715
chuna bhatti,1,1,1,674,Furnished,4,3124412,7285
Prabhat petrol pump,5,11,4,3697,Unfurnished,19,18132915,51317
Shyamla Hills,1,1,3,582,Unfurnished,26,4353960,14414
kohefiza,1,1,2,765,Furnished,10,3386918,10278
ibrahimpura,2,2,2,976,Furnished,2,4145603,10797
MP Nagar,2,3,4,1137,Furnished,3,9162284,29218
ibrahimpura,3,3,3,1480,Semi-Furnished,29,6400311,17995
ibrahimpura,1,1,1,464,Unfurnished,21,1963643,4767
Nizamuddin colony,4,7,3,2641,Furnished,28,17108380,55885
Ratnagiri,2,2,3,1099,Semi-Furnished,8,5067856,12727
Minal,1,1,4,573,Furnished,13,2689513,9070
Vikas Nagar,2,4,2,1033,Semi-Furnished,8,7023335,23488
jahangirabad,5,10,2,3152,Semi-Furnished,30,14468619,37018
Roshanpura,5,5,1,3946,Furnished,0,18906210,53528
Ratnagiri,5,6,1,3414,Unfurnished,12,15967109,44929
Vikas Nagar,4,7,4,2235,Semi-Furnished,22,15149244,52049
Prabhat petrol pump,3,5,2,1715,Unfurnished,20,8441213,24986
Ratnagiri,4,6,1,2187,Semi-Furnished,19,10337895,27009
MP Nagar,5,9,1,3536,Unfurnished,26,28305667,90006
Arjun Nagar,4,7,4,2593,Semi-Furnished,15,15506372,52285
Arjun Nagar,2,2,1,833,Semi-Furnished,20,4947361,16718
Chuna Bhatti,2,2,4,942,Unfurnished,1,4430326,14132
New market,3,3,3,1931,Unfurnished,5,13572011,42078
Sonagiri,4,6,2,2971,Unfurnished,10,13676103,35952
chuna bhatti,2,4,4,1034,Semi-Furnished,1,4773545,14724
eidgah hills,2,2,1,1068,Furnished,9,6403343,21021
Chuna Bhatti,1,2,1,526,Semi-Furnished,1,2395459,6262
Kolar hills,5,6,2,4260,Unfurnished,25,21353565,64784
eidgah hills,1,1,1,787,Furnished,19,4661088,17567
Barkheda,3,6,2,1688,Unfurnished,7,7403544,19981
chuna bhatti,2,4,3,1067,Semi-Furnished,6,4997058,12049
Ashoka garden,2,4,3,1074,Furnished,9,5613469,19151
Shyamla Hills,1,2,4,539,Unfurnished,8,4134798,12036
Chuna Bhatti,4,5,4,2613,Semi-Furnished,20,12301942,35051
kohefiza,4,8,3,3222,Furnished,1,14488732,38916
Shanti Nagar,4,9,3,2922,Unfurnished,3,17166125,55022
Chuna Bhatti,3,3,2,1965,Furnished,25,9255889,27344
Arera Colony,3,6,1,1883,Semi-Furnished,26,14026035,44058
Govindpura,3,6,4,1658,Furnished,24,8808099,25967
Arjun Nagar,5,12,3,3468,Furnished,2,20850760,70485
Ratnagiri,4,13,1,3469,Unfurnished,29,16314780,43276
Shivaji Nagar,2,3,1,1091,Furnished,4,6568636,22823
Kolar Road,4,5,3,3384,Unfurnished,14,16978715,51490
Vikas Nagar,2,4,3,1112,Furnished,27,7609654,25147
Anand nagar,3,3,2,1407,Semi-Furnished,1,8191228,26240
char Imli,4,7,2,2991,Furnished,4,19647208,62025
sultaniya road,1,2,2,507,Furnished,30,2640142,8868
Shanti Nagar,1,2,4,710,Semi-Furnished,19,4249339,12301
Prabhat petrol pump,1,1,1,439,Unfurnished,0,2248792,7233
char Imli,4,9,1,2624,Semi-Furnished,15,17399645,55394
Tajul masjid,4,9,2,2822,Unfurnished,2,15495989,49503
Vijay nagar,5,12,1,3006,Semi-Furnished,30,21734289,70222
Misrod,1,1,3,584,Semi-Furnished,4,2354429,6497
Shanti Nagar,3,5,3,1557,Unfurnished,20,9103496,29205
Ashoka garden,2,2,4,1042,Unfurnished,22,5499149,15446
kohefiza,2,3,3,1055,Furnished,29,4666555,14190
Gulmohar,1,2,4,762,Furnished,19,4944612,15065
Nizamuddin colony,3,5,4,1301,Semi-Furnished,0,8547914,26567
Gandhi nagar,5,7,3,3294,Semi-Furnished,16,20410641,74481
Arera Colony,2,3,1,1193,Furnished,20,8890122,30392
Ayodhya nagar,5,11,1,3204,Semi-Furnished,29,19774424,74464
sultaniya road,5,14,1,3853,Unfurnished,14,19996665,61167
Karond,1,1,1,438,Unfurnished,19,2106047,4646
Barkheda,2,2,4,1085,Furnished,28,4680328,15401
Bittan Market,3,3,2,1227,Furnished,21,8493850,26434
Saket nagar,2,3,4,884,Semi-Furnished,10,5927369,19369
Gandhi nagar,4,7,1,2326,Furnished,22,14377475,54175
Barkheda,1,1,4,757,Semi-Furnished,30,3277635,10102
Govindpura,3,4,1,1813,Furnished,2,9593353,30065
Bittan Market,1,1,3,675,Unfurnished,11,4669601,12886
chuna bhatti,3,4,1,1364,Furnished,12,6357810,16535
Avadhpuri,2,4,3,1105,Unfurnished,1,4876670,12762
Chuna Bhatti,3,3,1,1319,Semi-Furnished,7,6286912,18083
Nizamuddin colony,5,5,2,4334,Furnished,29,28092392,90685
Kamla Nagar,3,4,4,1232,Semi-Furnished,29,6495492,18749
Gandhi nagar,4,11,3,2783,Semi-Furnished,12,17277594,62630
Barkheda,2,2,4,997,Semi-Furnished,25,4321916,11229
VIP road,2,4,1,1045,Furnished,0,6850797,22653
Ayodhya bypass,4,8,1,3062,Semi-Furnished,12,16166949,47261
Bairagarh,4,4,3,2562,Unfurnished,13,11590922,32553
Kamla Nagar,3,3,4,1442,Unfurnished,4,7535365,21158
Avadhpuri,3,3,2,1478,Furnished,21,6547746,20947
Ayodhya nagar,4,10,1,2680,Semi-Furnished,28,16529995,61515
char Imli,3,3,3,1469,Unfurnished,15,9612445,31981
Ayodhya bypass,3,3,4,1954,Furnished,27,10422645,32726
Minal,3,3,1,1506,Furnished,22,7162805,20056
ibrahimpura,5,7,2,3126,Furnished,12,13343947,34033
Indrapuri,3,6,4,1596,Unfurnished,1,6347876,15264
sultaniya road,3,3,4,1611,Furnished,20,8425818,24268
Kamla Nagar,3,5,1,1416,Semi-Furnished,7,7453891,23553
Bittan Market,5,16,3,4456,Furnished,19,31099725,99260
Anand nagar,3,4,1,1860,Furnished,29,10808695,37231
Sonagiri,1,1,4,417,Furnished,2,1848688,4051
Saket nagar,1,1,2,437,Semi-Furnished,5,3025772,8959
Shyamla Hills,2,3,3,1173,Furnished,28,8794121,28501
Kamla Nagar,2,4,2,1152,Furnished,2,5890421,18445
jahangirabad,4,7,2,2306,Semi-Furnished,3,10519595,29460
Bittan Market,4,5,3,2709,Semi-Furnished,0,19011198,57697
Chuna Bhatti,5,10,3,4807,Furnished,1,22692453,60628
Misrod,1,2,3,791,Semi-Furnished,6,3407194,8095
Lalghati,3,5,3,1556,Furnished,22,7548483,20031
Minal,5,10,3,3723,Semi-Furnished,6,17576018,47942
jahangirabad,1,3,2,751,Unfurnished,16,3480641,9782
Bairagarh,1,2,2,773,Semi-Furnished,15,3563292,11111
Karond,4,5,1,2899,Unfurnished,26,14259775,40381
Indrapuri,2,2,3,1105,Unfurnished,9,4472412,11822
Misrod,3,4,2,1370,Unfurnished,17,5754661,16359
Chuna Bhatti,2,2,2,881,Furnished,13,4059310,11229
Shyamla Hills,1,1,4,427,Furnished,14,3251187,11038
Bairagarh,3,6,2,1624,Furnished,17,7297114,18007
Avadhpuri,5,10,4,3834,Furnished,23,16947426,51341
Ratnagiri,3,3,3,1487,Semi-Furnished,1,7034274,17458
kohefiza,4,8,1,2404,Semi-Furnished,24,10807784,27071
Minal,5,10,2,4847,Semi-Furnished,11,22751921,62950
Nizamuddin colony,3,4,4,1576,Semi-Furnished,22,10208148,34124
Ayodhya bypass,2,2,4,873,Semi-Furnished,10,4604878,15169
Saket nagar,4,4,4,3338,Semi-Furnished,5,22603109,75786
Shyamla Hills,5,11,4,3939,Semi-Furnished,28,29447176,96965
Indrapuri,5,10,1,4149,Unfurnished,28,16529185,41077
Ratnagiri,1,2,4,511,Unfurnished,11,2488407,8618
Hoshangabad Road,5,13,3,3362,Semi-Furnished,29,17229665,50051
char Imli,5,12,2,3072,Unfurnished,8,20371616,66214
Gandhi nagar,2,2,4,980,Furnished,13,5983300,23650
Service road,3,6,2,1862,Unfurnished,1,10780220,35869
ibrahimpura,2,3,4,1131,Semi-Furnished,26,4814612,12185
Ratnagiri,4,7,3,3197,Furnished,0,15063994,41614
jahangirabad,3,3,2,1433,Semi-Furnished,13,6611155,15445
Anand nagar,3,4,4,1228,Furnished,7,7089720,22564
Saket nagar,5,6,1,3110,Semi-Furnished,13,21077825,73202
Lalghati,2,2,2,1175,Semi-Furnished,25,5641047,18257
kohefiza,2,2,4,806,Furnished,0,3667466,10826
Shanti Nagar,4,12,3,3132,Semi-Furnished,9,18441466,60853
Avadhpuri,3,3,2,1991,Furnished,18,8731499,26245
Prabhat petrol pump,4,12,4,3038,Furnished,10,14791337,41310
Ashoka garden,4,8,3,2973,Furnished,10,15427547,48956
Tajul masjid,2,2,1,1049,Unfurnished,28,5862603,17764
Misrod,4,8,2,2564,Furnished,16,10780199,26727
eidgah hills,2,2,2,862,Unfurnished,14,5193426,17165
chuna bhatti,3,6,3,1947,Unfurnished,28,9212591,24667
Nizamuddin colony,2,3,4,881,Unfurnished,24,5672526,19588
Misrod,1,1,1,755,Furnished,14,3110856,8067
Shanti Nagar,3,4,2,1280,Unfurnished,25,7594770,24497
Barkheda,4,7,4,2116,Semi-Furnished,13,9382156,27025
Sonagiri,1,1,4,410,Furnished,15,1804882,4802
Kamla Nagar,4,7,4,3347,Unfurnished,12,17316331,51867
Bawadiya Kalan,5,12,4,3245,Semi-Furnished,9,14669276,38626
Kolar hills,4,8,2,2266,Furnished,15,11377242,35941
